Name,Length,gene,product,reads,reads-with-tail,mean-tail,proportion-with-tail
YAL068C,563,PAU8,"Protein of unknown function, member of the seripauperin multigene family encoded mainly in subtelomeric regions",2313.0,2233.0,41.0779220779,0.965412883701
YAL067C,1982,SEO1,"Putative permease, member of the allantoate transporter subfamily of the major facilitator superfamily  mutation confers resistance to ethionine sulfoxide",2264.0,2209.0,36.4658216388,0.975706713781
YAL065C,587,YAL065C,Putative protein of unknown function  has homology to FLO1  possible pseudogene,51.0,38.0,37.1315789474,0.745098039216
YAL064C-A,581,YAL064C-A,Putative protein of unknown function  null mutant is sensitive to expression of the top1-T722A allele  not an essential gene,4.0,4.0,43.75,1.0
YAL063C-A,491,YAL063C-A,Putative protein of unknown function  identified by expression profiling and mass spectrometry,225.0,207.0,42.0531400966,0.92
YAL063C,4169,FLO9,"Lectin-like protein with similarity to Flo1p, thought to be expressed and involved in flocculation",665.0,648.0,39.5802469136,0.974436090226
YAL059C-A,623,YAL059C-A,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data  partially overlaps verified gene ECM1/YAL059W",199.0,179.0,41.4245810056,0.899497487437
YAL056C-A,551,YAL056C-A,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data",11.0,9.0,28.3333333333,0.818181818182
YAL054C,2342,ACS1,"Acetyl-coA synthetase isoform which, along with Acs2p, is the nuclear source of acetyl-coA for histone acetylation  expressed during growth on nonfermentable carbon sources and under aerobic conditions",1610.0,1582.0,37.386852086,0.982608695652
YAL049C,941,AIM2,Cytoplasmic protein involved in mitochondrial function or organization  null mutant displays reduced frequency of mitochondrial genome loss  potential Hsp82p interactor,6531.0,6151.0,37.2947488213,0.941815954678
YAL048C,2189,GEM1,"Evolutionarily-conserved tail-anchored outer mitochondrial membrane GTPase which regulates mitochondrial morphology  cells lacking Gem1p contain collapsed, globular, or grape-like mitochondria  not required for pheromone-induced cell death",57.0,57.0,44.649122807,1.0
YAL047C,2069,SPC72,"Component of the cytoplasmic Tub4p (gamma-tubulin) complex, binds spindle pole bodies and links them to microtubules  has roles in astral microtubule formation and stabilization",938.0,902.0,35.3070953437,0.961620469083
YAL046C,557,AIM1,Protein involved in mitochondrial function or organization  null mutant displays elevated frequency of mitochondrial genome loss,2215.0,1954.0,33.7297850563,0.882167042889
YAL045C,509,YAL045C,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data  almost completely overlaps YAL044W-A",6.0,5.0,20.6,0.833333333333
YAL044C,713,GCV3,"H subunit of the mitochondrial glycine decarboxylase complex, required for the catabolism of glycine to 5,10-methylene-THF  also required for all protein lipoylation  expression is regulated by levels of 5,10-methylene-THF",7274.0,6243.0,30.9205510171,0.858262304097
